DATUMVOLEB;POCETDNI;POPISVOLEB
20220923;2;"Øádné volby podzim 2022"
20221115;1;"Rozhodnutí krajských soudù o neplatnosti volby kandidáta a jejich promítnutí do datových fondù s výsledky voleb do zastupitelstev obcí, konaných ve dnech 23. - 24. 9. 2022:
- Sovínky, okr. Mladá Boleslav, KS v Praze, 55A 72/2022, 55A 73/2022
- Stanovice, okr. Trutnov, KS v Hradci Králové, 31A 29/2022
- Matìjov, okr. Žïár nad Sázavou, KS v Brnì, 73A 4/2022"
20230107;1;"Sdìlení MV è. 282/2022 Sb. - Dodateèné volby v 11 obcích.
Sdìlení MV è. 294/2022 Sb. - Nové volby v 1 obci.
Sdìlení MV è. 341/2022 Sb. - Opakované hlasování v 1 obci."
20230218;1;"Sdìlení MV è. 342/2022 Sb. - Opakované volby v 1 obci."
20230325;1;"Sdìlení MV è. 327/2022 Sb. - Nové volby ve 4 obcích.
Sdìlení MV è. 347/2022 Sb. - Nové volby v 17 obcích.
Sdìlení MV è. 394/2022 Sb. - Nové volby v 8 obcích.
Sdìlení MV è. 448/2022 Sb. - Nové volby ve 4 obcích."
20230617;1;"Sdìlení MV è. 22/2023 Sb. - Dodateèné volby v 1 obci.
Sdìlení MV è. 23/2023 Sb. - Nové volby ve 4 obcích.
Sdìlení MV è. 39/2023 Sb. - Nové volby ve 3 obcích.
Sdìlení MV è. 68/2023 Sb. - Nové volby v 1 obci."
20230916;1;"Sdìlení MV è. 116/2023 Sb. - Nové volby ve 2 obcích.
Sdìlení MV è. 129/2023 Sb. - Nové volby ve 4 obcích.
Sdìlení MV è. 158/2023 Sb. - Nové volby ve 3 obcích.
Sdìlení MV è. 164/2023 Sb. - Nové volby ve 2 obcích."
20231209;1;"Sdìlení MV è. 219/2023 Sb. - Nové volby ve 2 obcích.
Sdìlení MV è. 220/2023 Sb. - Dodateèné volby v 1 obci.
Sdìlení MV è. 240/2023 Sb. - Nové volby ve 3 obcích a 1 mìstské èásti.
Sdìlení MV è. 269/2023 Sb. - Nové volby ve 2 obcích."
20240323;1;"Sdìlení MV è. 314/2023 Sb. - Nové volby ve 2 obcích.
Sdìlení MV è. 314/2023 Sb. - Dodateèné volby v 1 obci.
Sdìlení MV è. 331/2023 Sb. - Nové volby ve 2 obcích.
Sdìlení MV è. 355/2023 Sb. - Nové volby ve 2 obcích.
Sdìlení MV è. 379/2023 Sb. - Nové volby v 1 obci."
20240622;1;"Sdìlení MV è. 2/2024 Sb. - Dodateèné volby v 1 obci.
Sdìlení MV è. 25/2024 Sb. - Nové volby ve 4 obcích.
Sdìlení MV è. 42/2024 Sb. - Nové volby ve 2 obcích.
Sdìlení MV è. 66/2024 Sb. - Nové volby ve 2 obcích."
20241005;1;"Sdìlení MV è. 95/2024 Sb. - Nové volby v 5 obcích.
Sdìlení MV è. 122/2024 Sb. - Nové volby ve 2 obcích.
Sdìlení MV è. 159/2024 Sb. - Nové volby ve 3 obcích.
Sdìlení MV è. 209/2024 Sb. - Nové volby v 1 obci."
20241207;1;"Sdìlení MV è. 226/2024 Sb. - Nové volby ve 2 obcích.

Sdìlení MV è. 226/2024 Sb. - Dodateèné volby v 1 obci.

Sdìlení MV è. 257/2024 Sb. - Nové volby ve 2 obcích."
20250315;1;"Sdìlení MV è. 336/2024 Sb. - Nové volby ve 2 obcích.
Sdìlení MV è. 380/2024 Sb. - Nové volby ve 4 obcích."
20250614;1;"Sdìlení MV è. 1/2025 Sb. - Nové volby v 1 obci.
Sdìlení MV è. 1/2025 Sb. - Dodateèné volby v 1 obci.
Sdìlení MV è. 22/2025 Sb. - Nové volby v 1 obci.
Sdìlení MV è. 59/2025 Sb. - Nové volby ve 2 obcích."
20250913;1;"Sdìlení MV è. 101/2025 Sb. - Nové volby ve 3 obcích.
Sdìlení MV è. 123/2025 Sb. - Nové volby ve 3 obcích.
Sdìlení MV è. 170/2025 Sb. - Nové volby v 1 obci."
