NSTRANA,NAZEV_STRN,ZKRATKAN30,ZKRATKAN8
1,"KDU-ČSL","KDU-ČSL","KDU-ČSL"
2,"Česká strana národně sociální","Česká strana národně sociální","ČSNS"
5,"Strana zelených","Strana zelených","Zelení"
7,"Sociální demokracie","Sociální demokracie","SOCDEM"
24,"Konzervativní strana","Konzervativní strana","KONS"
40,"Klub angažovaných nestraníků","Klub angažovaných nestraníků","KAN"
47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM"
53,"Občanská demokratická strana","Občanská demokratická strana","ODS"
55,"Koruna Česká (monarch.str.Čech, Moravy a Slezska)","Koruna Česká (monarch.strana)","Koruna Česká"
72,"COEXISTENTIA","COEXISTENTIA","COEX"
74,"Levice","Levice","Levice"
79,"Národní demokracie","Národní demokracie","ND"
80,"Nezávislý kandidát","Nezávislý kandidát","NK"
83,"Moravané","Moravané","Moravané"
86,"Iniciativa občanů","Iniciativa občanů","IO"
88,"NEZÁVISLÍ","NEZÁVISLÍ","NEZ"
93,"Komunistická strana Československa","Komunistická str.Českosloven.","KSČ"
98,"Volte Pravý Blok www.cibulka.net","Volte Pr.Blok www.cibulka.net","PB"
109,"Zlínské hnutí nezávislých","Zlínské hnutí nezávislých","ZHN"
112,"MÍSTNÍ HNUTÍ NEZ. ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ","MÍSTNÍ HNHRM"
113,"Volba pro město","Volba pro město","VPM"
114,"Hnutí pro Havířov","Hnutí pro Havířov","HPH"
119,"Unie pro sport a zdraví","Unie pro sport a zdraví","USZ"
121,"LEPŠÍ ŽIVOT PRO LIDI","LEPŠÍ ŽIVOT PRO LIDI","LŽPL"
129,"SNK Evropští demokraté","SNK Evropští demokraté","SNK ED"
136,"Tábor 2020","Tábor 2020","T2020"
140,"Balbínova poetická strana","Balbínova poetická strana","BPS"
142,"Koalice PRO kraj","Koalice PRO kraj","Koal. PRO kraj"
143,"Spojení demokraté - Sdružení nezávislých","Spojení demokraté-Sdruž.nezáv.","SD-SN"
147,"MĚSTO LIDEM","MĚSTO LIDEM","ML"
148,"„SONOB-sdružení ochrany nájemníků a ostat.bydlení“","„SONOB-sdruž.ochr.nájemníků“","SONOB"
158,"Starostové a osobnosti pro Moravu","Starostové a osobn. pro Moravu","SOM"
159,"Strana státu přímé demokracie - Strana práce","Str.státu přímé dem.-Str.práce","SSPD-SP"
163,"NEZÁVISLÁ VOLBA","NEZÁVISLÁ VOLBA","NV"
166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN"
176,"Strana občanské sebeobrany","Strana občanské sebeobrany","S.O.S. PRAHA"
179,"Sedma-strana pro obec Slatiňany a její osady","Sedma-str.pro obec Slatiňany","Sedma"
181,"Nestraníci","Nestraníci","Nestran."
182,"Karlovarská občanská alternativa","Karlovar.občanská alternativa","KOA"
188,"SEMILÁCI","SEMILÁCI","PSS"
193,"Volba pro Mladou Boleslav","Volba pro Mladou Boleslav","VpMB"
195,"Hnutí pro Prahu 11","Hnutí pro Prahu 11","HPP 11"
703,"Starostové pro Liberecký kraj","Starostové pro Liberecký kraj","SLK"
704,"Severočeši.cz","Severočeši.cz","S.cz"
711,"Lidé a Politika","Lidé a Politika","LAP"
714,"Svobodní","Svobodní","Svobodní"
715,"Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ."
716,"Strana soukromníků České republiky","Strana soukromníků ČR","Soukromníci"
720,"Česká pirátská strana","Česká pirátská strana","Piráti"
721,"TOP 09","TOP 09","TOP 09"
725,"Victoria.cz","Victoria.cz","Victoria"
726,"Nový Impuls","Nový Impuls","NI"
727,"VOLBA PRO KLADNO","VOLBA PRO KLADNO","VPK"
731,"Ženy za Brod","Ženy za Brod","ŽB"
733,"„Volím Orlovou“","„Volím Orlovou“","„VO“"
734,"Občané městu, město občanům","Občané městu, město občanům","OMMO"
